Ref,Val,Package,PosX,PosY,Rot,Side
"D16","5A","D_SMC",187.360000,-119.340000,90.000000,top
"D17","D","D_DO-41_SOD81_P7.62mm_Horizontal",159.080000,-293.520000,90.000000,top
"D18","D","D_DO-41_SOD81_P7.62mm_Horizontal",162.985000,-285.900000,-90.000000,top
"D19","D","D_DO-41_SOD81_P7.62mm_Horizontal",246.460000,-105.915000,-90.000000,top
"D20","D","D_DO-41_SOD81_P7.62mm_Horizontal",242.555000,-113.530000,90.000000,top
"D21","5A","D_SMC",236.685000,-280.105000,-90.000000,top
"D22","5A","D_SMC",168.900000,-119.340000,90.000000,top
"D23","3.9V","D_SOD-323",261.145000,-110.285000,-90.000000,top
"D24","3.9V","D_SOD-323",330.610000,-289.145000,90.000000,top
"D25","3.9V","D_SOD-323",266.115000,-110.285000,-90.000000,top
"D26","3.9V","D_SOD-323",325.640000,-289.145000,90.000000,top
"D27","3.9V","D_SOD-323",294.000000,-105.825000,-90.000000,top
"D28","3.9V","D_SOD-323",299.000000,-293.000000,90.000000,top
"D29","3.9V","D_SOD-323",271.030000,-110.285000,-90.000000,top
"D30","3.9V","D_SOD-323",320.725000,-289.145000,90.000000,top
"D31","3.9V","D_SOD-323",302.000000,-105.825000,-90.000000,top
"D32","3.9V","D_SOD-323",291.000000,-293.000000,90.000000,top
"D33","3.9V","D_SOD-323",310.000000,-105.825000,-90.000000,top
"D34","3.9V","D_SOD-323",283.000000,-293.000000,90.000000,top
"D35","3.9V","D_SOD-323",276.305000,-110.285000,-90.000000,top
"D36","3.9V","D_SOD-323",315.450000,-289.145000,90.000000,top
"D37","5A","D_SMC",311.485000,-280.105000,-90.000000,top
"D38","5A","D_SMC",280.290000,-119.305000,90.000000,top
"D39","D","D_DO-41_SOD81_P7.62mm_Horizontal",253.460000,-293.520000,90.000000,top
"D40","D","D_DO-41_SOD81_P7.62mm_Horizontal",257.465000,-285.900000,-90.000000,top
"D41","D","D_DO-41_SOD81_P7.62mm_Horizontal",339.030000,-105.875000,-90.000000,top
"D42","D","D_DO-41_SOD81_P7.62mm_Horizontal",335.045000,-113.495000,90.000000,top
"D43","5A","D_SMC",329.950000,-280.105000,-90.000000,top
"D44","5A","D_SMC",261.830000,-119.305000,90.000000,top
"D45","3.9V","D_SOD-323",354.055000,-110.220000,-90.000000,top
"D47","3.9V","D_SOD-323",359.030000,-110.215000,-90.000000,top
"D49","3.9V","D_SOD-323",389.000000,-105.825000,-90.000000,top
"D50","3.9V","D_SOD-323",390.345000,-293.000000,90.000000,top
"D51","3.9V","D_SOD-323",363.945000,-110.215000,-90.000000,top
"D53","3.9V","D_SOD-323",397.000000,-105.825000,-90.000000,top
"D54","3.9V","D_SOD-323",382.665000,-293.000000,90.000000,top
"D55","3.9V","D_SOD-323",405.000000,-105.825000,-90.000000,top
"D56","3.9V","D_SOD-323",374.485000,-293.000000,90.000000,top
"D57","3.9V","D_SOD-323",369.215000,-110.215000,-90.000000,top
"D59","5A","D_SMC",373.870000,-119.305000,90.000000,top
"D63","D","D_DO-41_SOD81_P7.62mm_Horizontal",433.270000,-105.890000,-90.000000,top
"D64","D","D_DO-41_SOD81_P7.62mm_Horizontal",429.240000,-113.510000,90.000000,top
"D65","5A","D_SMC",355.415000,-119.305000,90.000000,top
"F1","3A","Fuse_Bourns_MF-RHT200",176.300000,-202.235000,90.000000,top
"FB1","28C0236-0JW-10","LairdTech_28C0236-0JW-10",407.447832,-277.495000,90.000000,top
"IC1","LM4040C30FTA","SOT-23",188.792500,-269.550000,180.000000,top
"IC2","LM4040C30FTA","SOT-23",216.357500,-129.850000,0.000000,top
"IC3","LM4040C30FTA","SOT-23",309.540000,-129.850000,0.000000,top
"IC4","LM4040C30FTA","SOT-23",282.267500,-269.560000,180.000000,top
"IC5","LM4040C30FTA","SOT-23",403.327500,-129.860000,0.000000,top
"IC6","LM4040C30FTA","SOT-23",375.675000,-269.540000,180.000000,top
"J1","24V IN","1945096",161.185000,-191.455000,-90.000000,top
"J2","+24V IN","BarrelJack_CUI_PJ-102AH_Horizontal",169.390000,-207.045000,-90.000000,top
"J3_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",180.760000,-305.000000,0.000000,top
"J3_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",156.760000,-305.000000,0.000000,top
"J4","5-2301994-9","TE_5-2301994-9",413.813500,-304.625000,0.000000,top
"J4_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",220.000000,-94.777500,180.000000,top
"J4_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",244.000000,-94.777500,180.000000,top
"J5","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",204.940000,-235.305000,-90.000000,top
"J6","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",200.055000,-164.095000,90.000000,top
"J7","Conn_01x02","1945096",427.420000,-201.510000,90.000000,top
"J8","Conn_02x20_Odd_Even","PinHeader_2x20_P2.54mm_Vertical",271.470000,-200.985000,90.000000,top
"J9_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",228.760000,-305.000000,0.000000,top
"J9_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",204.760000,-305.000000,0.000000,top
"J10_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",172.000000,-94.777500,180.000000,top
"J10_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",196.000000,-94.777500,180.000000,top
"J11_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",276.760000,-305.000000,0.000000,top
"J11_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",252.760000,-305.000000,0.000000,top
"J12_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",316.000000,-94.777500,180.000000,top
"J12_2","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",340.000000,-94.777500,180.000000,top
"J13","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",293.480000,-164.095000,90.000000,top
"J14","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",298.390000,-235.310000,-90.000000,top
"J15_1","Screw_Terminal_01x04","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",324.760000,-305.000000,0.000000,top
